ontology,class,algorithm,selection_type,auroc,auprc,time_sec
BP,GO:0010557,naive_bayes,PCA,0.8155,0.0463,7.503
BP,GO:0010558,naive_bayes,PCA,0.7729,0.0231,7.052
BP,GO:0010562,naive_bayes,PCA,0.7606,0.021,6.481
BP,GO:0010563,naive_bayes,PCA,0.7065,0.01,6.825
BP,GO:0010564,naive_bayes,PCA,0.8541,0.0561,6.647
BP,GO:0010565,naive_bayes,PCA,0.6968,0.0058,7.617
BP,GO:0010604,naive_bayes,PCA,0.7791,0.0517,7.278
BP,GO:0010605,naive_bayes,PCA,0.7423,0.0293,6.606
BP,GO:0010608,naive_bayes,PCA,0.7491,0.0177,7.615
BP,GO:0010628,naive_bayes,PCA,0.7844,0.0468,6.861
BP,GO:0010629,naive_bayes,PCA,0.747,0.0251,7.37
BP,GO:0010638,naive_bayes,PCA,0.8164,0.0125,7.03
BP,GO:0010639,naive_bayes,PCA,0.7966,0.0344,7.166
BP,GO:0010646,naive_bayes,PCA,0.7584,0.051,6.49
BP,GO:0010647,naive_bayes,PCA,0.7811,0.0245,7.301
BP,GO:0010648,naive_bayes,PCA,0.7614,0.0387,6.775
BP,GO:0010720,naive_bayes,PCA,0.7958,0.0204,7.86
BP,GO:0010721,naive_bayes,PCA,0.8043,0.0219,6.817
BP,GO:0010769,naive_bayes,PCA,0.7436,0.025,7.19
BP,GO:0010770,naive_bayes,PCA,0.8263,0.0091,6.586
BP,GO:0010771,naive_bayes,PCA,0.6567,0.0035,7.447
BP,GO:0010817,naive_bayes,PCA,0.7414,0.0071,7.248
BP,GO:0010883,naive_bayes,PCA,0.6761,0.004,6.74
BP,GO:0010927,naive_bayes,PCA,0.8319,0.0113,6.757
BP,GO:0010939,naive_bayes,PCA,0.7926,0.0164,6.892
BP,GO:0010940,naive_bayes,PCA,0.7497,0.0279,7.414
BP,GO:0010941,naive_bayes,PCA,0.7773,0.0399,7.439
BP,GO:0010942,naive_bayes,PCA,0.7561,0.0145,6.978
BP,GO:0010948,naive_bayes,PCA,0.8793,0.0358,7.085
BP,GO:0010965,naive_bayes,PCA,0.901,0.0412,7.384
BP,GO:0010970,naive_bayes,PCA,0.7863,0.0354,7.057
BP,GO:0010975,naive_bayes,PCA,0.7873,0.0292,7.461
BP,GO:0010976,naive_bayes,PCA,0.8052,0.0148,7.323
BP,GO:0010977,naive_bayes,PCA,0.7558,0.0095,6.93
BP,GO:0012501,naive_bayes,PCA,0.6019,0.0085,6.708
BP,GO:0014056,naive_bayes,PCA,0.682,0.0055,6.731
BP,GO:0014057,naive_bayes,PCA,0.7399,0.0078,7.329
BP,GO:0015031,naive_bayes,PCA,0.652,0.0104,7.167
BP,GO:0015672,naive_bayes,PCA,0.7461,0.0307,7.36
BP,GO:0015695,naive_bayes,PCA,0.6017,0.005,6.841
BP,GO:0015696,naive_bayes,PCA,0.6833,0.007,7.083
BP,GO:0015711,naive_bayes,PCA,0.6182,0.005,6.966
BP,GO:0015833,naive_bayes,PCA,0.6664,0.0137,7.373
BP,GO:0015849,naive_bayes,PCA,0.6083,0.0022,6.527
BP,GO:0015850,naive_bayes,PCA,0.6466,0.0038,6.276
BP,GO:0015893,naive_bayes,PCA,0.7213,0.0066,7.53
BP,GO:0016042,naive_bayes,PCA,0.597,0.0031,7.555
BP,GO:0016043,naive_bayes,PCA,0.7855,0.1106,7.041
BP,GO:0016049,naive_bayes,PCA,0.75,0.0347,7.102
BP,GO:0016050,naive_bayes,PCA,0.6612,0.0064,6.951
BP,GO:0016053,naive_bayes,PCA,0.768,0.014,7.289
BP,GO:0016055,naive_bayes,PCA,0.7909,0.0237,6.795
BP,GO:0016070,naive_bayes,PCA,0.7733,0.0192,7.189
BP,GO:0016071,naive_bayes,PCA,0.8183,0.019,6.746
BP,GO:0016192,naive_bayes,PCA,0.7618,0.0289,6.923
BP,GO:0016197,naive_bayes,PCA,0.6248,0.0079,6.968
